date,time,temperature,sensor,room,board
03/01/17,15:00:00,19.286,5,1,3
03/01/17,15:30:00,19.478,5,1,3
03/01/17,16:00:00,19.736,5,1,3
03/01/17,16:30:00,19.606,5,1,3
03/01/17,17:00:00,19.672,5,1,3
03/01/17,17:30:00,19.736,5,1,3
03/01/17,18:00:00,20.000,5,1,3
03/01/17,18:30:00,20.000,5,1,3
03/01/17,19:00:00,20.128,5,1,3
03/01/17,19:30:00,20.192,5,1,3
03/01/17,20:00:00,20.000,5,1,3
03/01/17,20:30:00,20.192,5,1,3
03/01/17,21:00:00,20.064,5,1,3
03/01/17,21:30:00,20.642,5,1,3
03/01/17,22:00:00,20.064,5,1,3
03/01/17,22:30:00,20.256,5,1,3
03/01/17,23:00:00,20.192,5,1,3
03/01/17,23:30:00,20.128,5,1,3
04/01/17,00:00:00,19.802,5,1,3
04/01/17,00:30:00,18.572,5,1,3
04/01/17,01:00:00,17.900,5,1,3
04/01/17,01:30:00,17.674,5,1,3
04/01/17,02:00:00,17.284,5,1,3
04/01/17,02:30:00,16.834,5,1,3
04/01/17,03:00:00,16.834,5,1,3
04/01/17,03:30:00,16.578,5,1,3
04/01/17,04:00:00,16.578,5,1,3
04/01/17,04:30:00,16.446,5,1,3
04/01/17,05:00:00,16.250,5,1,3
04/01/17,05:30:00,17.026,5,1,3
04/01/17,06:00:00,18.190,5,1,3
04/01/17,06:30:00,18.508,5,1,3
04/01/17,07:00:00,19.158,5,1,3
04/01/17,07:30:00,19.286,5,1,3
04/01/17,08:00:00,19.478,5,1,3
04/01/17,08:30:00,19.736,5,1,3
04/01/17,09:00:00,19.868,5,1,3
04/01/17,09:30:00,20.770,5,1,3
04/01/17,10:00:00,20.772,5,1,3
04/01/17,10:30:00,20.576,5,1,3
04/01/17,11:00:00,20.448,5,1,3
04/01/17,11:30:00,20.448,5,1,3
04/01/17,12:00:00,20.578,5,1,3
04/01/17,12:30:00,20.640,5,1,3
04/01/17,13:00:00,20.576,5,1,3
04/01/17,13:30:00,20.640,5,1,3
04/01/17,14:00:00,20.704,5,1,3
04/01/17,14:30:00,20.832,5,1,3
04/01/17,15:00:00,20.576,5,1,3
04/01/17,15:30:00,21.028,5,1,3
04/01/17,16:00:00,20.706,5,1,3
04/01/17,16:30:00,20.704,5,1,3
04/01/17,17:00:00,20.640,5,1,3
04/01/17,17:30:00,21.026,5,1,3
04/01/17,18:00:00,20.740,5,1,3
04/01/17,18:30:00,20.706,5,1,3
04/01/17,19:00:00,19.674,5,1,3
04/01/17,19:30:00,18.898,5,1,3
04/01/17,20:00:00,18.380,5,1,3
04/01/17,20:30:00,18.060,5,1,3
04/01/17,21:00:00,17.738,5,1,3
04/01/17,21:30:00,17.866,5,1,3
04/01/17,22:00:00,17.410,5,1,3
04/01/17,22:30:00,17.218,5,1,3
04/01/17,23:00:00,17.218,5,1,3
04/01/17,23:30:00,17.026,5,1,3
05/01/17,00:00:00,16.930,5,1,3
05/01/17,00:30:00,16.834,5,1,3
05/01/17,01:00:00,16.900,5,1,3
05/01/17,01:30:00,16.514,5,1,3
05/01/17,02:00:00,16.250,5,1,3
05/01/17,02:30:00,16.120,5,1,3
05/01/17,03:00:00,16.316,5,1,3
05/01/17,03:30:00,16.252,5,1,3
05/01/17,04:00:00,16.120,5,1,3
05/01/17,04:30:00,16.056,5,1,3
05/01/17,05:00:00,16.124,5,1,3
05/01/17,05:30:00,15.864,5,1,3
05/01/17,06:00:00,16.380,5,1,3
05/01/17,06:30:00,17.866,5,1,3
05/01/17,07:00:00,18.508,5,1,3
05/01/17,07:30:00,18.962,5,1,3
05/01/17,08:00:00,19.544,5,1,3
05/01/17,08:30:00,19.932,5,1,3
05/01/17,09:00:00,20.256,5,1,3
05/01/17,09:30:00,20.322,5,1,3
05/01/17,10:00:00,20.256,5,1,3
05/01/17,10:30:00,20.640,5,1,3
05/01/17,11:00:00,20.512,5,1,3
05/01/17,11:30:00,20.883,5,1,3
05/01/17,12:00:00,20.834,5,1,3
05/01/17,12:30:00,20.834,5,1,3
05/01/17,13:00:00,20.898,5,1,3
05/01/17,13:30:00,20.832,5,1,3
05/01/17,14:00:00,21.026,5,1,3
05/01/17,14:30:00,21.026,5,1,3
05/01/17,15:00:00,21.158,5,1,3
05/01/17,15:30:00,21.092,5,1,3
05/01/17,16:00:00,21.092,5,1,3
05/01/17,16:30:00,20.960,5,1,3
05/01/17,17:00:00,20.960,5,1,3
05/01/17,17:30:00,21.090,5,1,3
05/01/17,18:00:00,21.740,5,1,3
05/01/17,18:30:00,21.026,5,1,3
05/01/17,19:00:00,20.060,5,1,3
05/01/17,19:30:00,19.930,5,1,3
05/01/17,20:00:00,19.030,5,1,3
05/01/17,20:30:00,18.702,5,1,3
05/01/17,21:00:00,18.380,5,1,3
05/01/17,21:30:00,18.124,5,1,3
05/01/17,22:00:00,17.996,5,1,3
05/01/17,22:30:00,17.804,5,1,3
05/01/17,23:00:00,17.330,5,1,3
05/01/17,23:30:00,17.410,5,1,3
06/01/17,00:00:00,17.346,5,1,3
06/01/17,00:30:00,17.412,5,1,3
06/01/17,01:00:00,17.154,5,1,3
06/01/17,01:30:00,17.606,5,1,3
06/01/17,02:00:00,17.156,5,1,3
06/01/17,02:30:00,16.898,5,1,3
06/01/17,03:00:00,16.962,5,1,3
06/01/17,03:30:00,17.608,5,1,3
06/01/17,04:00:00,16.898,5,1,3
06/01/17,04:30:00,16.578,5,1,3
06/01/17,05:00:00,16.578,5,1,3
06/01/17,05:30:00,17.480,5,1,3
06/01/17,06:00:00,16.964,5,1,3
06/01/17,06:30:00,18.124,5,1,3
06/01/17,07:00:00,18.898,5,1,3
06/01/17,07:30:00,19.478,5,1,3
06/01/17,08:00:00,19.802,5,1,3
06/01/17,08:30:00,20.000,5,1,3
06/01/17,09:00:00,20.964,5,1,3
06/01/17,09:30:00,20.640,5,1,3
06/01/17,10:00:00,22.124,5,1,3
06/01/17,10:30:00,21.610,5,1,3
06/01/17,11:00:00,21.546,5,1,3
06/01/17,11:30:00,21.546,5,1,3
06/01/17,12:00:00,22.382,5,1,3
06/01/17,12:30:00,23.092,5,1,3
06/01/17,13:00:00,23.478,5,1,3
06/01/17,13:30:00,23.348,5,1,3
06/01/17,14:00:00,23.606,5,1,3
06/01/17,14:30:00,23.672,5,1,3
06/01/17,15:00:00,23.284,5,1,3
06/01/17,15:30:00,22.510,5,1,3
06/01/17,16:00:00,22.188,5,1,3
06/01/17,16:30:00,21.996,5,1,3
06/01/17,17:00:00,21.418,5,1,3
06/01/17,17:30:00,21.290,5,1,3
06/01/17,18:00:00,21.290,5,1,3
06/01/17,18:30:00,21.026,5,1,3
06/01/17,19:00:00,21.092,5,1,3
06/01/17,19:30:00,20.128,5,1,3
06/01/17,20:00:00,19.606,5,1,3
06/01/17,20:30:00,19.478,5,1,3
06/01/17,21:00:00,19.996,5,1,3
06/01/17,21:30:00,18.962,5,1,3
06/01/17,22:00:00,18.703,5,1,3
06/01/17,22:30:00,18.640,5,1,3
06/01/17,23:00:00,18.380,5,1,3
06/01/17,23:30:00,18.444,5,1,3
07/01/17,00:00:00,18.188,5,1,3
07/01/17,00:30:00,17.996,5,1,3
07/01/17,01:00:00,17.868,5,1,3
07/01/17,01:30:00,17.740,5,1,3
07/01/17,02:00:00,17.544,5,1,3
07/01/17,02:30:00,17.412,5,1,3
07/01/17,03:00:00,17.542,5,1,3
07/01/17,03:30:00,17.862,5,1,3
07/01/17,04:00:00,17.218,5,1,3
07/01/17,04:30:00,17.218,5,1,3
07/01/17,05:00:00,16.962,5,1,3
07/01/17,05:30:00,17.542,5,1,3
07/01/17,06:00:00,17.866,5,1,3
07/01/17,06:30:00,19.026,5,1,3
07/01/17,07:00:00,19.864,5,1,3
07/01/17,07:30:00,20.126,5,1,3
07/01/17,08:00:00,20.384,5,1,3
07/01/17,08:30:00,20.576,5,1,3
07/01/17,09:00:00,20.960,5,1,3
07/01/17,09:30:00,21.205,5,1,3
07/01/17,10:00:00,21.354,5,1,3
07/01/17,10:30:00,21.352,5,1,3
07/01/17,11:00:00,21.482,5,1,3
07/01/17,11:30:00,21.866,5,1,3
07/01/17,12:00:00,21.738,5,1,3
07/01/17,12:30:00,21.738,5,1,3
07/01/17,13:00:00,21.994,5,1,3
07/01/17,13:30:00,21.738,5,1,3
07/01/17,14:00:00,21.674,5,1,3
07/01/17,14:30:00,22.448,5,1,3
07/01/17,15:00:00,21.290,5,1,3
07/01/17,15:30:00,21.418,5,1,3
07/01/17,16:00:00,21.866,5,1,3
07/01/17,16:30:00,21.994,5,1,3
07/01/17,17:00:00,21.802,5,1,3
07/01/17,17:30:00,21.866,5,1,3
07/01/17,18:00:00,21.740,5,1,3
07/01/17,18:30:00,21.866,5,1,3
07/01/17,19:00:00,21.416,5,1,3
07/01/17,19:30:00,20.834,5,1,3
07/01/17,20:00:00,20.514,5,1,3
07/01/17,20:30:00,19.736,5,1,3
07/01/17,21:00:00,20.723,5,1,3
07/01/17,21:30:00,19.480,5,1,3
07/01/17,22:00:00,19.352,5,1,3
07/01/17,22:30:00,19.028,5,1,3
07/01/17,23:00:00,18.894,5,1,3
07/01/17,23:30:00,18.572,5,1,3
08/01/17,00:00:00,18.444,5,1,3
