date,time,temperature,sensor,room,board
01/12/16,00:00:00,5.325,5,1,3
01/12/16,00:30:00,5.293,5,1,3
01/12/16,01:00:00,3.549,5,1,3
01/12/16,01:30:00,5.161,5,1,3
01/12/16,02:00:00,6.917,5,1,3
01/12/16,02:30:00,4.936,5,1,3
01/12/16,03:00:00,4.290,5,1,3
01/12/16,03:30:00,4.806,5,1,3
01/12/16,04:00:00,3.903,5,1,3
01/12/16,04:30:00,3.678,5,1,3
01/12/16,05:00:00,3.935,5,1,3
01/12/16,05:30:00,3.838,5,1,3
01/12/16,06:00:00,3.967,5,1,3
01/12/16,06:30:00,4.643,5,1,3
01/12/16,07:00:00,5.032,5,1,3
01/12/16,07:30:00,5.257,5,1,3
01/12/16,08:00:00,5.256,5,1,3
01/12/16,08:30:00,5.417,5,1,3
01/12/16,09:00:00,5.513,5,1,3
01/12/16,09:30:00,5.481,5,1,3
01/12/16,10:00:00,5.515,5,1,3
01/12/16,10:30:00,31.740,5,1,3
01/12/16,11:00:00,6.453,5,1,3
01/12/16,11:30:00,6.130,5,1,3
01/12/16,12:00:00,6.872,5,1,3
01/12/16,12:30:00,5.556,5,1,3
01/12/16,13:00:00,7.420,5,1,3
01/12/16,13:30:00,9.462,5,1,3
01/12/16,14:00:00,6.451,5,1,3
01/12/16,14:30:00,6.709,5,1,3
01/12/16,15:00:00,9.967,5,1,3
01/12/16,15:30:00,4.904,5,1,3
01/12/16,16:00:00,4.483,5,1,3
01/12/16,16:30:00,4.258,5,1,3
01/12/16,17:00:00,4.321,5,1,3
01/12/16,17:30:00,4.484,5,1,3
01/12/16,18:00:00,4.484,5,1,3
01/12/16,18:30:00,4.771,5,1,3
01/12/16,19:00:00,4.773,5,1,3
01/12/16,19:30:00,4.323,5,1,3
01/12/16,20:00:00,3.869,5,1,3
01/12/16,20:30:00,3.902,5,1,3
01/12/16,21:00:00,3.807,5,1,3
01/12/16,21:30:00,3.871,5,1,3
01/12/16,22:00:00,3.936,5,1,3
01/12/16,22:30:00,3.581,5,1,3
01/12/16,23:00:00,3.516,5,1,3
01/12/16,23:30:00,3.550,5,1,3
02/12/16,00:00:00,2.081,5,1,3
02/12/16,00:30:00,3.615,5,1,3
02/12/16,01:00:00,5.341,5,1,3
02/12/16,01:30:00,3.514,5,1,3
02/12/16,02:00:00,3.385,5,1,3
02/12/16,02:30:00,3.677,5,1,3
02/12/16,03:00:00,3.096,5,1,3
02/12/16,03:30:00,3.289,5,1,3
02/12/16,04:00:00,3.225,5,1,3
02/12/16,04:30:00,3.322,5,1,3
