PHASE;ID;GENDER;ATENEO;CLASS;FASCIAETA;ANNO;LIVELLO;ESAME_!;ESAME_2;ESAME_TOT;RIP;EFFICACIA
1;34942;M;UE;CL09;1;2008;3;0;1;0;;0%
1;32945;M;TORINO;CL05;2;2001;3;1;1;1;;85%
1;28684;M;EXTRA-UE;CL09;2;2006;3;0;0;0;;20%
1;18280;M;LECCE;CL05;2;2004;3;1;0;0;;56%
1;29569;M;MODENA;CL05;2;2014;3;1;1;1;;38%
1;35708;M;UE;CL09;2;2003;3;1;1;1;;56%
1;13326;M;GENOVA;CL05;2;2014;3;1;1;1;;38%
1;31109;M;MILANO;CL05;2;2014;2;1;1;1;;45%
1;35254;M;TORINO;CL04;2;2014;3;0;0;0;;0%
1;18373;F;SALERNO;CL04;1;2002;3;0;1;0;;9%
1;35983;M;MILANO;CL05;2;2015;3;1;1;1;;100%
1;29800;M;MILANO;CL05;2;2015;2;1;0;0;;78%
1;13567;M;ROMA;CL05;2;2015;3;1;1;1;;69%
1;18578;M;ROMA;CL05;2;2006;2;1;1;1;;56%
1;21066;M;PADOVA;CL05;2;2005;2;1;1;1;;45%
1;32686;F;BOLOGNA;CL05;2;2005;3;0;1;0;;14%
1;4114;M;CATANIA;CL01;1;2007;3;0;0;0;;11%
1;5978;M;NAPOLI;CL01;2;2008;3;1;0;0;;38%
1;19379;M;EXTRA-UE;CL09;2;2007;0;0;0;0;;0%
1;3031;M;CATANIA;CL05;2;2006;3;1;0;0;;56%
1;38996;M;ROMA;CL04;2;1998;3;1;0;0;;71%
1;33804;M;CATANIA;CL05;2;2014;3;1;1;1;;100%
1;33411;M;SALERNO;CL01;2;2015;3;1;1;1;;38%
1;4721;M;EXTRA-UE;CL09;2;2007;3;1;0;0;;38%
1;38833;M;EXTRA-UE;CL09;2;2007;2;0;0;0;;27%
1;36296;M;TRENTO;CL04;1;2006;3;1;0;0;;82%
1;38050;M;UE;CL09;1;2006;3;1;1;1;;38%
1;27889;M;L'AQUILA;CL01;1;2013;3;1;1;1;;38%
1;27525;M;UE;CL09;1;2003;3;1;1;1;;38%
1;38829;M;L'AQUILA;CL01;2;2006;2;1;0;0;;69%
1;25179;M;PALERMO;CL05;2;2004;3;1;0;0;;64%
1;37346;F;PISA;CL01;2;2016;3;1;0;0;;45%
1;30084;M;VERONA;CL05;2;2011;3;1;1;1;;78%
1;2328;M;REGGIO CALABRIA;CL05;2;2014;3;1;1;1;;45%
1;8305;M;CASERTA;CL05;2;2016;3;1;1;1;;45%
1;27898;F;UE;CL09;1;2008;3;0;1;0;;9%
1;37299;M;BOLOGNA;CL05;2;2014;3;0;0;0;;43%
1;28886;M;FERRARA;CL01;2;2014;3;1;1;1;;38%
1;29795;M;NAPOLI;CL05;2;2014;3;1;1;1;;38%
1;21232;M;REGGIO CALABRIA;CL05;2;2016;3;1;1;1;;38%
1;33908;M;TRENTO;CL09;1;2015;3;0;1;0;;14%
1;31972;F;BOLZANO;CL01;2;2005;2;1;0;0;;38%
1;30199;M;BARI;CL05;2;2015;3;1;0;0;;45%
1;650;F;BENEVENTO;CL05;2;2001;3;0;1;0;;9%
1;38755;M;CATANIA;CL01;1;2008;2;0;0;0;;9%
1;26936;M;MESSINA;CL05;2;2006;3;1;1;1;;45%
1;39094;M;EXTRA-UE;CL09;1;2016;3;1;1;1;;45%
1;16547;M;ENNA;CL05;2;2015;3;1;0;0;;45%
1;37080;M;TORINO;CL05;2;2016;3;0;1;0;;33%
1;19904;M;PISA;CL05;2;2014;3;1;0;0;;54%
1;10087;M;TORINO;CL05;2;2014;3;1;1;1;;54%
1;23471;M;TRENTO;CL09;1;2018;3;1;1;1;;38%
1;28262;M;REGGIO CALABRIA;CL05;1;2006;3;1;1;1;;38%
1;37237;M;VARESE;CL01;2;2016;3;1;1;1;;45%
1;20666;M;UE;CL09;2;2014;3;0;0;0;;23%
1;34148;M;EXTRA-UE;CL09;2;2003;3;0;1;0;;0%
1;6756;M;TRENTO;CL09;2;2015;3;1;1;1;;54%
1;256;M;TORINO;CL05;2;2012;3;1;1;1;;82%
1;24865;M;VENEZIA;CL01;2;2015;3;1;1;1;;45%
1;5321;M;REGGIO CALABRIA;CL05;2;2015;3;0;1;0;;23%
1;26909;M;MILANO;CL01;2;2010;3;0;1;0;;9%
1;4932;M;PADOVA;CL05;2;2015;3;1;1;1;;38%
1;12829;M;UE;CL05;2;2015;3;1;0;0;;38%
1;39146;M;TRENTO;CL05;2;2014;0;0;0;0;;0%
1;28224;M;CATANZARO;CL05;2;2012;3;1;0;0;;38%
1;39082;M;PARMA;CL03;1;2002;2;0;0;0;;43%
1;22626;M;CASERTA;CL05;2;2014;3;0;1;0;;23%
1;25783;M;MESSINA;CL01;2;2014;3;1;1;1;;54%
1;31654;M;MODENA;CL05;2;2010;2;1;0;0;;78%
1;1391;M;TORINO;CL05;2;2010;3;1;0;0;;38%
1;37216;M;SALERNO;CL01;2;2014;2;1;0;0;;45%
1;8514;M;PALERMO;CL05;2;2015;3;1;1;1;;38%
1;16796;M;UE;CL09;2;2015;3;1;0;0;;45%
1;21898;M;GENOVA;CL05;2;2014;3;1;1;1;;38%
1;18072;M;TRENTO;CL09;2;2009;3;1;0;0;;45%
1;31512;M;PARMA;CL05;1;1996;2;0;0;0;;43%
1;16311;M;BOLZANO;CL01;2;2016;3;0;0;0;;23%
1;6047;M;ROMA;CL05;2;2006;2;1;0;0;;45%
1;1901;M;BENEVENTO;CL05;2;2014;3;1;0;0;;56%
1;21463;M;ANCONA;CL05;2;2011;3;1;0;0;;45%
2;41651;M;PARMA;CL05;2;2016;3;1;1;1;;71%
2;43179;M;UE;CL09;2;2009;3;1;0;0;;45%
2;44039;M;TRENTO;CL09;2;2014;2;0;1;0;;33%
2;48753;M;MILANO;CL05;2;2015;3;1;1;1;;38%
2;42319;M;TRENTO;CL09;1;2007;2;0;1;0;;33%
2;44680;M;TRIESTE;CL05;2;2015;3;1;1;1;;45%
2;44716;M;EXTRA-UE;CL09;1;2006;3;0;0;0;;14%
2;48279;M;PERUGIA;CL05;2;2005;2;1;1;1;;82%
2;45808;M;UE;CL09;1;2003;2;0;1;0;;11%
2;50615;M;ROMA;CL09;2;2016;3;1;0;0;;45%
2;48865;M;SALERNO;CL01;2;2015;3;0;1;0;;43%
2;50619;M;SALERNO;CL06;2;2005;3;1;0;0;;54%
2;50977;M;MILANO;CL05;2;2015;3;1;1;1;;54%
