PHASE;ID;GENDER;ATENEO;CLASS;FASCIAETA;ANNO;LIVELLO;ESAME_!;ESAME_2;ESAME_TOT;RIP;EFFICACIA
5;101078;M;TORINO;CL04;2;2008;3;1;1;1;;54%
5;82462;M;PADOVA;CL05;1;2017;2;1;1;1;;45%
5;86760;M;ROMA;CL05;2;2005;3;0;0;0;;33%
5;89386;M;BOLZANO;CL05;2;2017;3;0;1;0;1;23%
5;105937;M;CATANIA;CL01;2;2018;3;1;1;1;;38%
5;103732;M;UE;CL09;1;2006;3;0;0;0;;33%
5;78237;M;CASERTA;CL05;2;2014;3;1;1;1;1;38%
5;105864;M;PISA;CL01;1;2012;3;1;1;1;;45%
5;92371;M;UE;CL09;2;2007;3;1;0;0;1;45%
5;97440;M;ROMA;CL05;2;2014;3;0;0;0;;23%
5;88830;M;PARMA;CL05;2;2017;3;1;0;0;1;56%
5;96102;M;BENEVENTO;CL05;2;2014;3;1;0;0;1;38%
